"Week","Stored Energy Value 2014 [MWh] - BZN|FR","Stored Energy Value 2015 [MWh] - BZN|FR","Stored Energy Value 2016 [MWh] - BZN|FR","Stored Energy Value 2017 [MWh] - BZN|FR","Stored Energy Value 2018 [MWh] - BZN|FR"
"Week 1","N/A","2737368","1978425","1731080","1577489"
"Week 2","N/A","2648112","2042176","1506079","-"
"Week 3","N/A","2622624","1893646","1352500","-"
"Week 4","N/A","2456362","1812965","988159","-"
"Week 5","N/A","2289749","1808771","907065","-"
"Week 6","N/A","2121193","1748370","971170","-"
"Week 7","N/A","1832396","1645290","937230","-"
"Week 8","N/A","1642339","1523088","935748","-"
"Week 9","N/A","1498497","1368108","843774","-"
"Week 10","N/A","1632116","1308303","856354","-"
"Week 11","N/A","1314307","1165647","873142","-"
"Week 12","N/A","1211849","1032395","851557","-"
"Week 13","N/A","1111858","993525","841629","-"
"Week 14","N/A","1112498","1023632","839510","-"
"Week 15","N/A","1120162","1039776","858713","-"
"Week 16","N/A","1134908","1087120","872913","-"
"Week 17","N/A","1191820","1079049","909507","-"
"Week 18","N/A","1254809","1078797","926378","-"
"Week 19","N/A","1518660","1190531","1016298","-"
"Week 20","N/A","1720675","1355507","1169199","-"
"Week 21","N/A","1917460","1498294","1337825","-"
"Week 22","N/A","1916174","1723111","1648732","-"
"Week 23","N/A","2052323","1902719","1907481","-"
"Week 24","N/A","2229232","2131614","2069304","-"
"Week 25","N/A","2405020","2271954","2246981","-"
"Week 26","N/A","2498453","2424740","2376558","-"
"Week 27","N/A","2492731","2595652","2453834","-"
"Week 28","N/A","2532015","2689942","2469901","-"
"Week 29","N/A","2555627","2746988","2472334","-"
"Week 30","N/A","2543616","2774693","2515875","-"
"Week 31","N/A","2573500","2815144","2534378","-"
"Week 32","N/A","2610486","2845905","2550592","-"
"Week 33","N/A","2638154","2843018","2543603","-"
"Week 34","N/A","2683473","2826938","2523198","-"
"Week 35","N/A","2707234","2746637","2493281","-"
"Week 36","N/A","2670356","2675879","2483308","-"
"Week 37","N/A","2656060","2580900","2446898","-"
"Week 38","N/A","2653075","2606349","2416702","-"
"Week 39","N/A","2680678","2512710","2356294","-"
"Week 40","N/A","2644538","2454430","2309797","-"
"Week 41","N/A","2621532","2321294","2246056","-"
"Week 42","N/A","2591506","2262240","2208835","-"
"Week 43","N/A","2493778","2211351","2184170","-"
"Week 44","N/A","2409220","2271496","2160397","-"
"Week 45","N/A","2394525","2313148","2079340","-"
"Week 46","N/A","2392543","2333679","1987997","-"
"Week 47","N/A","2344375","2455207","1861449","-"
"Week 48","N/A","2287176","2486202","1786793","-"
"Week 49","N/A","2249053","2388603","1535027","-"
"Week 50","2822828","2214811","2256174","1497896","-"
"Week 51","2761903","2108071","2066183","1464078","-"
"Week 52","2766707","2064510","1978452","1493019","-"
"Week 53","","2031601","","",""
